,Ether_dst,Ether_src,IP_id,IP_len,IP_ttl,TCP_dataofs,TCP_dport,TCP_seq,TCP_sport,TCP_window,load_len,IP_proto_icmp,IP_proto_igmp,IP_proto_tcp,IP_proto_udp,TCP_flags_A,TCP_flags_FA,TCP_flags_PA,TCP_flags_R,TCP_flags_RA,TCP_flags_S,TCP_flags_SA,label_src
149,e0:55:3d:02:41:21,84:38:35:5a:70:40,3752.0,52.0,64.0,8.0,334.0,2980376559.0,59560.0,4035.0,,0,0,1,0,1,0,0,0,0,0,0,1
150,e0:55:3d:02:41:21,84:38:35:5a:70:40,13442.0,98.0,64.0,8.0,334.0,2980376559.0,59560.0,4096.0,141.0,0,0,1,0,0,0,1,0,0,0,0,1
152,e0:55:3d:02:41:21,84:38:35:5a:70:40,40099.0,203.0,64.0,8.0,334.0,3969208858.0,59556.0,4096.0,489.0,0,0,1,0,0,0,1,0,0,0,0,1
153,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,19926.0,60.0,64.0,10.0,80.0,2662700880.0,46108.0,65535.0,,0,0,1,0,0,0,0,0,0,1,0,3
154,e0:55:3d:02:41:21,84:38:35:5a:70:40,12941.0,98.0,64.0,8.0,334.0,3969209009.0,59556.0,4096.0,158.0,0,0,1,0,0,0,1,0,0,0,0,1
155,e0:55:3d:02:41:21,84:38:35:5a:70:40,44566.0,201.0,64.0,8.0,334.0,3886515277.0,59557.0,4096.0,466.0,0,0,1,0,0,0,1,0,0,0,0,1
156,e0:55:3d:02:41:21,84:38:35:5a:70:40,51384.0,98.0,64.0,8.0,334.0,3886515426.0,59557.0,4096.0,138.0,0,0,1,0,0,0,1,0,0,0,0,1
157,e0:55:3d:02:41:21,84:38:35:5a:70:40,5219.0,985.0,64.0,8.0,334.0,3463310689.0,59554.0,9675.0,2647.0,0,0,1,0,0,0,1,0,0,0,0,1
159,e0:55:3d:02:41:21,84:38:35:5a:70:40,18862.0,1436.0,64.0,8.0,334.0,3463311622.0,59554.0,9675.0,3990.0,0,0,1,0,1,0,0,0,0,0,0,1
160,e0:55:3d:02:41:21,84:38:35:5a:70:40,43658.0,626.0,64.0,8.0,334.0,3463313006.0,59554.0,9675.0,1683.0,0,0,1,0,0,0,1,0,0,0,0,1
164,e0:55:3d:02:41:21,84:38:35:5a:70:40,16120.0,52.0,64.0,8.0,334.0,2980376605.0,59560.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
165,e0:55:3d:02:41:21,84:38:35:5a:70:40,2868.0,52.0,64.0,8.0,334.0,2980376605.0,59560.0,4007.0,,0,0,1,0,1,0,0,0,0,0,0,1
166,e0:55:3d:02:41:21,84:38:35:5a:70:40,5043.0,52.0,64.0,8.0,334.0,2980376605.0,59560.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
171,e0:55:3d:02:41:21,84:38:35:5a:70:40,19914.0,52.0,64.0,8.0,334.0,3463313580.0,59554.0,9671.0,,0,0,1,0,1,0,0,0,0,0,0,1
178,e0:55:3d:02:41:21,84:38:35:5a:70:40,7597.0,52.0,64.0,8.0,334.0,2980376605.0,59560.0,4051.0,,0,0,1,0,1,0,0,0,0,0,0,1
180,e0:55:3d:02:41:21,84:38:35:5a:70:40,20831.0,52.0,64.0,8.0,334.0,2980376605.0,59560.0,3965.0,,0,0,1,0,1,0,0,0,0,0,0,1
181,e0:55:3d:02:41:21,84:38:35:5a:70:40,57115.0,52.0,64.0,8.0,334.0,2980376605.0,59560.0,4096.0,,0,0,1,0,1,0,0,0,0,0,0,1
183,e0:55:3d:02:41:21,84:38:35:5a:70:40,24663.0,52.0,64.0,8.0,334.0,3969209055.0,59556.0,4094.0,,0,0,1,0,1,0,0,0,0,0,0,1
185,e0:55:3d:02:41:21,b4:7c:9c:31:b4:df,19927.0,52.0,64.0,8.0,80.0,2662700881.0,46108.0,1369.0,,0,0,1,0,1,0,0,0,0,0,0,3
186,e0:55:3d:02:41:21,84:38:35:5a:70:40,55879.0,52.0,64.0,8.0,334.0,3886515472.0,59557.0,4094.0,,0,0,1,0,1,0,0,0,0,0,0,1
