,Ether_dst,Ether_src,IP_id,IP_len,IP_proto,IP_ttl,TCP_dataofs,TCP_dport,TCP_flags,TCP_seq,TCP_sport,TCP_window,load_len
2931,33:33:00:00:00:fb,40:cb:c0:bc:36:7e,,,,,,,,,,,
2932,ff:ff:ff:ff:ff:ff,b4:7c:9c:31:b4:df,37460.0,331.0,udp,64.0,,,,,,,
2933,b4:7c:9c:31:b4:df,e0:55:3d:02:41:21,58129.0,328.0,udp,64.0,,,,,,,
2934,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,149.0
2935,28:f0:76:31:d3:58,e0:55:3d:02:41:21,0.0,70.0,udp,43.0,,,,,,,139.0
2936,e0:55:3d:02:41:21,00:18:0a:7d:01:ce,16082.0,84.0,icmp,200.0,,,,,,,216.0
2937,00:18:0a:7d:01:ce,e0:55:3d:02:41:21,41000.0,84.0,icmp,58.0,,,,,,,216.0
2938,e0:55:3d:02:41:21,88:15:44:aa:47:39,57833.0,196.0,udp,250.0,,,,,,,487.0
2939,e0:55:3d:02:41:21,88:15:44:aa:47:39,14816.0,196.0,udp,250.0,,,,,,,470.0
2940,88:15:44:aa:47:39,e0:55:3d:02:41:21,48866.0,224.0,icmp,63.0,,,,,,,470.0
2941,88:15:44:aa:47:2e,e0:55:3d:02:41:21,872.0,155.0,udp,52.0,,,,,,,257.0
2942,e0:55:3d:02:41:21,84:38:35:5a:70:40,28197.0,276.0,tcp,64.0,8.0,334.0,PA,3948039853.0,59562.0,5051.0,660.0
2943,84:38:35:5a:70:40,e0:55:3d:02:41:21,1548.0,52.0,tcp,58.0,8.0,59562.0,A,2606516154.0,334.0,811.0,
2944,88:15:44:aa:47:2e,e0:55:3d:02:41:21,43185.0,155.0,udp,49.0,,,,,,,257.0
2945,e0:55:3d:02:41:21,28:f0:76:31:d3:58,0.0,644.0,tcp,64.0,8.0,334.0,PA,1747378281.0,65474.0,4096.0,1735.0
2946,28:f0:76:31:d3:58,e0:55:3d:02:41:21,36354.0,52.0,tcp,58.0,8.0,65474.0,A,1204039566.0,334.0,811.0,
2947,e0:55:3d:02:41:21,84:38:35:5a:70:40,62407.0,154.0,tcp,64.0,8.0,334.0,PA,3463328433.0,59554.0,9675.0,316.0
2948,e0:55:3d:02:41:21,84:38:35:5a:70:40,32785.0,1436.0,tcp,64.0,8.0,334.0,A,3463328535.0,59554.0,9675.0,3990.0
2949,e0:55:3d:02:41:21,84:38:35:5a:70:40,40464.0,1294.0,tcp,64.0,8.0,334.0,PA,3463329919.0,59554.0,9675.0,3511.0
2950,84:38:35:5a:70:40,e0:55:3d:02:41:21,37090.0,52.0,tcp,57.0,8.0,59554.0,A,740911085.0,334.0,338.0,
2951,84:38:35:5a:70:40,e0:55:3d:02:41:21,1595.0,125.0,tcp,58.0,8.0,59562.0,PA,2606516154.0,334.0,811.0,224.0
2952,84:38:35:5a:70:40,e0:55:3d:02:41:21,1596.0,90.0,tcp,58.0,8.0,59562.0,PA,2606516227.0,334.0,811.0,121.0
2953,84:38:35:5a:70:40,e0:55:3d:02:41:21,1597.0,98.0,tcp,58.0,8.0,59562.0,PA,2606516265.0,334.0,811.0,152.0
2954,e0:55:3d:02:41:21,84:38:35:5a:70:40,36358.0,52.0,tcp,64.0,8.0,334.0,A,3948040077.0,59562.0,5049.0,
